"";"benchmark";"model_type";"aic";"binary_accuracy";"rmse"
"75";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HellaSwag_minus_1 + arithmetic_3ds_2_acc_minus_1";"343.370715714776";"0.666666666666667";"0.0942729560344436"
"76";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HellaSwag_minus_1 + arithmetic_3da_2_acc_minus_1";"343.95185690061";"0.666666666666667";"0.0974828049250363"
"77";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HellaSwag_minus_1 + arithmetic_2dm_2_acc_minus_1";"343.819689017207";"0.666666666666667";"0.100674177176837"
"78";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HellaSwag_minus_1 + arithmetic_2da_2_acc_minus_1";"344.03904080201";"0.666666666666667";"0.100541915196243"
"79";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + Winograd_minus_1 + TruthfulQA_minus_1";"345.563222921712";"0.666666666666667";"0.0961010257346445"
"80";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + Winograd_minus_1 + GSM8K_minus_1";"346.221428647136";"0.666666666666667";"0.0978030032427196"
"81";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + Winograd_minus_1 + XWinograd_minus_1";"344.265616821418";"0.666666666666667";"0.100569990914427"
"82";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + Winograd_minus_1 + HumanEval_minus_1";"346.270729525773";"0.666666666666667";"0.0984296466786855"
"83";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + Winograd_minus_1 + parsinlu_qa_2_acc_minus_1";"345.24240834853";"0.666666666666667";"0.0962073914340458"
"84";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + Winograd_minus_1 + word_unscrambling_2_exact_match_minus_1";"346.332294433667";"0.666666666666667";"0.097516267001281"
"85";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + Winograd_minus_1 + ipa_transliterate_2_exact_match_minus_1";"346.123582208553";"0.666666666666667";"0.0992714752744616"
"86";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + Winograd_minus_1 + ipa_transliterate_2_bleu_minus_1";"345.937807314022";"0.666666666666667";"0.0974501263927224"
"87";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + Winograd_minus_1 + arithmetic_3ds_2_acc_minus_1";"345.328001617618";"0.666666666666667";"0.0919300148313331"
"88";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + Winograd_minus_1 + arithmetic_3da_2_acc_minus_1";"345.339685144374";"0.666666666666667";"0.0962596771065077"
"89";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + Winograd_minus_1 + arithmetic_2dm_2_acc_minus_1";"345.597963330333";"0.666666666666667";"0.100123176126033"
"90";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + Winograd_minus_1 + arithmetic_2da_2_acc_minus_1";"345.918061796983";"0.666666666666667";"0.100328635078495"
"91";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + TruthfulQA_minus_1 + GSM8K_minus_1";"345.995077037957";"0.666666666666667";"0.092594607355162"
"92";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + TruthfulQA_minus_1 + XWinograd_minus_1";"344.423377194522";"0.666666666666667";"0.0951627008116133"
"93";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + TruthfulQA_minus_1 + HumanEval_minus_1";"346.049348152277";"0.666666666666667";"0.0927575743661458"
"94";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + TruthfulQA_minus_1 + parsinlu_qa_2_acc_minus_1";"344.746220964605";"0.666666666666667";"0.0974275467086555"
"95";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + TruthfulQA_minus_1 + word_unscrambling_2_exact_match_minus_1";"344.89345969862";"0.666666666666667";"0.0955119303685962"
"96";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + TruthfulQA_minus_1 + ipa_transliterate_2_exact_match_minus_1";"345.230800282944";"0.666666666666667";"0.097144913990577"
"97";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + TruthfulQA_minus_1 + ipa_transliterate_2_bleu_minus_1";"345.769873070478";"0.666666666666667";"0.0915537229746686"
"98";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + TruthfulQA_minus_1 + arithmetic_3ds_2_acc_minus_1";"344.833300947252";"0.666666666666667";"0.0859818423272926"
"99";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + TruthfulQA_minus_1 + arithmetic_3da_2_acc_minus_1";"345.190724141345";"0.666666666666667";"0.0910393486695844"
"100";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + TruthfulQA_minus_1 + arithmetic_2dm_2_acc_minus_1";"345.335860655866";"0.666666666666667";"0.0949659614796116"
